,Society,Location,Rent,Carpet Area,Rate,BHK,Bath,Furnished,Power Back Up,Lift,Swimming Pool,Gym,Loc
0,OTHER,AGARI PADA,526110.0,2769.0,190.0,3.0,4.0,1.0,0,0,0,0,OTHER AGARI PADA
1,ACROPOLIS PATROPOLIS AND HELIOPOLIS,AZAD NAGAR,499500.0,2700.0,185.0,4.0,4.0,0.0,0,0,0,0,ACROPOLIS PATROPOLIS AND HELIOPOLIS AZAD NAGAR
2,OBEROI ESQUIRE,GOREGAON EAST,300762.0,2046.0,147.0,4.0,5.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
3,OTHER,BEST NAGAR GOREGAON WEST,200000.0,2000.0,100.0,4.0,4.0,0.0,0,0,0,0,OTHER BEST NAGAR GOREGAON WEST
4,OBEROI ESQUIRE,GOREGAON EAST,199848.0,1514.0,132.0,3.0,5.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
5,OBEROI ESQUIRE,GOREGAON EAST,189250.0,1514.0,125.0,3.0,4.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
6,DB WOODS,GOKULDHAM,190400.0,1700.0,112.0,4.0,4.0,0.0,0,1,1,1,DB WOODS GOKULDHAM
7,OBEROI WOODS,GOREGAON EAST,180000.0,1800.0,100.0,6.0,4.0,0.0,1,1,1,1,OBEROI WOODS GOREGAON EAST
8,DB WOODS,GOREGAON EAST,180000.0,1800.0,100.0,4.0,4.0,0.0,0,1,1,1,DB WOODS GOREGAON EAST
9,OBEROI ESQUIRE,GOREGAON EAST,174400.0,1600.0,109.0,3.0,3.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
10,OBEROI ESQUIRE,GOREGAON EAST,175560.0,1330.0,132.0,3.0,4.0,0.0,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
11,OBEROI ESQUIRE,GOREGAON EAST,175560.0,1330.0,132.0,3.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
12,OBEROI ESQUIRE,GOREGAON EAST,175560.0,1330.0,132.0,3.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
13,OBEROI ESQUIRE,GOREGAON EAST,175560.0,1330.0,132.0,3.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
14,OBEROI ESQUIRE,GOREGAON EAST,175560.0,1330.0,132.0,3.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
15,OBEROI ESQUIRE,GOREGAON EAST,174976.0,1367.0,128.0,3.0,4.0,0.5,1,1,1,1,OBEROI ESQUIRE GOREGAON EAST
